OBJECTID,CLUSTER_ID,FREQUENCY,MEAN_T,STD_T,MEAN_pm_25,STD_pm_25,MEAN_pm_10,STD_pm_10,MEAN_no_2,STD_no_2,MEAN_o3_s35,STD_o3_s35,MEAN_o3_p932,STD_o3_p932,MEAN_RASTERVALU,STD_RASTERVALU,MEAN_Y_LT15_share,STD_Y_LT15_share,MEAN_Y_1564_share,STD_Y_1564_share,MEAN_Y_GE65_share,STD_Y_GE65_share,MEAN_NAT_share,STD_NAT_share,MEAN_EU_OTH_share,STD_EU_OTH_share,MEAN_OTH_share,STD_OTH_share,MEAN_SAME_share,STD_SAME_share,MEAN_CHG_IN_share,STD_CHG_IN_share,MEAN_CHG_OUT_share,STD_CHG_OUT_share,MEAN_EMP_share,STD_EMP_share,Clusters,PCs,Country
6,6,44,4274.159090909091,2922.926193430312,11.78064543409091,0.24110001290666858,28.82483620681819,0.4534528224022754,11.023733979545453,1.787048631998157,6356.096368956813,275.7532198220163,108.51563019772729,0.7416835365854717,28.886363636363637,2.8384069319259044,12.496846213383218,1.7257863089692669,65.15739689527142,3.3907253052331643,22.345756891345356,4.039400130981808,83.16547971128465,8.557011801989859,3.539613807384788,1.7663834418109452,13.294906481330559,7.591449683515559,95.50347279468583,1.2294975130760026,2.9334600712598973,0.9269992643003675,1.5630671340542797,0.7404636576852248,76.39096782527429,4.151291597524644,7,4,MT
7,7,4,916.0,673.0601756158211,11.389899974999999,0.6901056521528911,27.384299749999997,1.9600921039369088,7.779251224999999,3.217970802625542,7520.86621095,1450.6106680320124,112.3336773,4.843747667611956,23.25,4.5,11.564645267468112,7.426450576522607,41.91866386620254,8.810060451287898,46.516690866329355,12.404495654890825,80.4237426073743,16.337507938046855,6.519586551297036,8.431375912182718,13.056670841328684,8.001239385073488,97.32460478852231,0.7598416771273497,1.3787485532966972,0.783932619394718,1.2966466581809983,0.7446464683021401,78.95082260897848,7.307155283799648,7,4,MT
1,1,956,1911.5261506276152,1437.9471290392728,9.81917012364017,0.6473514740638463,15.932851054393328,1.0898283181608426,13.73367273828453,2.3035023435268767,2532.7877829336867,206.7286169836705,96.99951839372366,2.5406731248181202,23.205020920502093,3.459233928384957,12.017917463830093,3.402184073464218,55.07961797947887,6.88922686095169,32.902464556690994,8.32354061497445,92.00547546429547,4.095028738617391,2.5376408620293494,1.7199250183789236,5.45688367367513,3.245495904258767,90.08356088575816,3.7907076533536985,9.270879632326897,3.552769695714098,0.645559481915092,0.6548672391401881,81.71935217076945,9.212842494363858,7,6,NL
2,2,141,4163.439716312057,4983.4126163973715,9.729237673049642,0.7653972790337172,16.371946321276592,1.4364026318201584,15.861967240425527,3.877994506057305,2261.35775519291,343.87250580826293,94.45800423971642,3.5989850984282414,26.26241134751773,4.4250026474099,9.44639270678168,5.6103047331731934,78.91797122926604,9.904296981335612,11.635636063952282,7.405138168376444,60.21748344371217,17.026571238556592,14.79453273934384,10.191189054932625,24.987983816943977,20.34952471488568,72.75487469592154,16.488615103069442,15.75621166603054,8.502385570780342,11.488913638047942,14.06979212256929,60.733836241949284,23.63294717958261,7,6,NL
3,3,1946,1747.4450154162384,1603.4386177310257,10.20119142841725,0.4060912646688167,16.473650466289808,0.8335288954718325,13.971954810996904,1.8985798490940005,2544.307423103087,161.6753778084369,97.54872742497477,2.01360442469164,22.068345323741006,2.380070430785069,16.33062311327718,4.051886629426703,65.1038231528493,4.58872306779908,18.56555373387354,5.341378075561937,92.63309509665113,4.279044038611472,2.6749196129593433,2.1302082510476854,4.691985290389597,3.026416568495907,91.5550288676516,3.394509084871292,7.8486446026746925,3.114653453801574,0.5963265296736983,0.6797919523684336,84.84717500937981,4.955849665982456,7,6,NL
4,4,1102,3177.901996370236,2737.7597565313945,9.599759078947377,0.5196629006285562,17.39207111116153,0.9700434465868076,17.057185072141554,3.0554800737916956,1832.1622709861176,211.5444622159931,89.68302235517255,2.3608668771213743,25.634301270417424,4.288381046499977,15.826082999401821,3.5693712729574028,64.00947921569202,5.617062399296816,20.164437784906184,6.317449625362496,87.4255854889467,7.063720988929052,3.7005063287901843,2.545167490507836,8.873908182263044,5.530869438287757,90.8471588600114,3.5906879383941708,8.210740629000977,3.08100844267983,0.9421005109875125,0.9792001899443865,82.12650917168656,6.434960270572487,7,6,NL
5,5,1005,1539.0905472636816,1397.501213663671,8.525231610547264,0.5048324110743023,14.301345481791047,0.5473802639354849,10.470298852139287,1.9556255263177982,2324.1807026857723,301.99127185997736,92.97190832109463,2.964291899574885,22.286567164179104,2.7158727506137503,16.474754388240285,4.800831548458696,63.34947088184527,5.265798138585664,20.17577472991446,6.927353146414937,93.22069267601533,4.935431281825757,1.86984766265246,1.6300766305907208,4.909459661332211,4.05122181642299,91.51667534567845,3.198602905920548,7.933137318438262,2.884300969059815,0.5501873358834719,1.0205838948408,81.11267951534404,8.366356717515057,7,6,NL
6,6,134,903.8283582089553,869.0792857409796,9.543414234328354,0.764662932564938,15.526443051492535,1.1982368012557856,12.721818538059692,2.8658225396606345,2416.915080967164,320.3939487521845,95.15054787835818,2.9156390348142223,22.970149253731343,3.6376070348461016,20.934754984674758,8.479779630094038,68.4790585944193,7.490715204260117,10.586186420905932,8.029588074527775,90.93208916651035,7.863155842486182,2.0826411148427906,1.9226530222056086,6.985269718646916,7.202507222092248,66.5575094233739,14.489230857729353,32.62328498597387,14.133356171444431,0.8192055906522112,1.300536746978761,83.53412898022626,14.049926162689076,7,6,NL
7,7,947,4380.289334741288,2771.957331354923,9.9586144373812,0.5265224888466371,16.442598299788834,1.0065798945904132,16.73379708954596,2.6437615662717686,2413.207372971694,304.2184093852792,95.83950397296701,3.078937851787364,29.4350580781415,2.1032432601130857,17.36711059030082,4.324821124461387,65.78998370018293,4.7904612524302905,16.842905709516245,6.064891246533314,79.66457836915687,10.067491013242206,3.9224315481393988,2.190111689421076,16.412990082703868,8.877603519753556,89.85173635270226,3.916321048696856,8.849678232554417,2.9463369389967378,1.298585414743343,1.6074751799596243,74.24456682682283,8.36495273854149,7,6,NL
1,1,473,1032.4883720930231,816.3519827355112,5.858966999365746,1.3870874678428515,9.81315644630021,2.1710005661227547,7.892600847780125,2.754454957250528,1672.3861204012644,261.11362274529887,87.958056218816,1.9436421371095245,21.697674418604652,1.5809830144809407,12.880294871666724,3.565021392042439,58.40138631381096,6.2674781226382725,28.71831881452236,7.401623421576515,85.74639436101764,5.9616393429719,4.9569136628545,2.523447879843952,9.29669197612774,4.914613277726311,87.7651303776122,4.010910796499171,11.72976852961766,3.8463702688693946,0.5051010927701144,0.8574173897764085,74.62050885241676,8.108238506961934,6,6,NO
