OBJECTID,CLUSTER_ID,FREQUENCY,MEAN_pm_25,STD_pm_25,MEAN_pm_10,STD_pm_10,MEAN_no_2,STD_no_2,MEAN_o3_s35,STD_o3_s35,MEAN_o3_p932,STD_o3_p932,MEAN_DEG_URBA,STD_DEG_URBA,MEAN_Y_LT15_share,STD_Y_LT15_share,MEAN_Y_1564_share,STD_Y_1564_share,MEAN_Y_GE65_share,STD_Y_GE65_share,MEAN_NAT_share,STD_NAT_share,MEAN_EU_OTH_share,STD_EU_OTH_share,MEAN_OTH_share,STD_OTH_share,MEAN_SAME_share,STD_SAME_share,MEAN_CHG_IN_share,STD_CHG_IN_share,MEAN_CHG_OUT_share,STD_CHG_OUT_share,MEAN_EMP_share,STD_EMP_share,Clusters,PCs,Country,MEAN_pm_25_f,MEAN_pm_10_f,MEAN_no_2_f,MEAN_o3_p932_f,MEAN_Y_LT15_share_f,MEAN_Y_GE65_share_f,MEAN_NAT_share_f,MEAN_EU_OTH_share_f,MEAN_OTH_share_f,MEAN_EMP_share_f,MEAN_pm_25_g,MEAN_pm_10_g,MEAN_no_2_g,MEAN_o3_p932_g,MEAN_Y_LT15_share_g,MEAN_Y_GE65_share_g,MEAN_NAT_share_g,MEAN_EU_OTH_share_g,MEAN_OTH_share_g,MEAN_EMP_share_g,any_5pct_pollution,any_5pct_socio,any_5pct_both_types,hotspot,hotspot_elderly,hotspot_children,hotspot_employment,hotspot_natives,hotspot_foreigners
4,4,74,13.56605314,2.489240201,18.91786402,3.248260795,12.43173593,3.034402123,3628.198387,387.2501979,109.1647897,3.22984355,22.82432432,3.504822932,19.52019163,8.013655686,65.88521069,9.822216005,14.59459768,9.961499578,91.20046769,5.111279066,4.319746233,2.265113557,4.479786077,4.065173938,80.14264797,8.853234041,19.32384378,8.76691692,0.533508253,0.469997006,71.99583478,15.95239113,7,6,CZ,0,0,0,0,1,0,0,1,1,1,,,,0.002235925,0.204878822,,,0.307721296,0.21385257,0.124184859,0,1,0,0,0,0,0,0,0
5,5,741,12.99220304,1.346741091,18.18906337,1.738035551,11.55105246,1.817944451,3609.89757,302.7815116,109.3035146,1.808746594,21.22402159,1.024571378,21.18053289,3.636421669,64.49988707,3.347895417,14.31958004,4.333610035,93.35903694,4.56230318,2.950411023,1.505847058,3.690552039,3.63759186,93.52273923,2.509087294,6.079129395,2.370071428,0.398131376,0.427254257,82.28992868,3.849692006,7,6,CZ,0,0,0,0,1,0,0,0,0,0,,,,0.001270784,0.085057631,,,,,0.016720506,0,1,0,0,0,0,0,0,0
6,6,1042,14.30285085,1.779496844,19.62375341,2.119952879,12.53276635,1.984009321,3717.439791,281.7792312,108.4477617,1.942951693,21.45777351,1.03847318,15.23215901,2.043196665,60.59807608,3.590229675,24.16976491,4.259678999,95.51863551,2.717874171,2.475451126,1.154032738,2.005913366,2.103669684,93.41881777,2.080912234,6.129731466,1.987891609,0.451450762,0.48163489,80.93662735,4.093773531,7,6,CZ,0,0,0,0,0,1,0,0,0,0,0.019224328,0.035398534,,,,0.165136736,0.000513764,,,0.032876885,0,1,0,0,0,0,0,0,0
7,7,667,17.73216926,2.463779653,23.94773008,3.263738933,14.21975781,2.287976411,3869.300188,229.5026525,109.8575314,2.294886045,21.74962519,2.12421595,16.20095836,2.722311793,65.08244426,3.351445313,18.71659738,3.920314662,95.46958669,2.546973751,3.303262129,1.812927198,1.22715118,1.445226717,93.93629467,2.338184772,5.688677731,2.229507819,0.375027599,0.349551919,74.57004026,7.348156183,7,6,CZ,1,1,1,0,0,0,0,0,0,1,0.239764677,0.213312128,0.132226244,0.005068609,0.034219824,,0.012405947,,,0.085377278,1,1,1,1,0,0,1,0,0
1,1,14708,9.197649223,0.599812714,13.70668901,0.879334249,13.16718439,2.967943862,2594.300605,270.2368664,98.87715106,2.808190493,22.20567038,2.727296886,13.90707989,3.525316684,62.82092519,5.393968642,23.27199492,6.666528815,82.3895792,9.651041242,6.343516096,2.957462191,11.2669047,8.212103738,91.6457146,4.717015887,7.160368405,3.853429837,1.193916991,2.020852208,94.30584995,1.73871643,3,6,DE,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0.021042669,0,0,0,0,0,0,0,0,0
2,2,8730,10.66330143,0.871320239,15.59039865,1.28546245,15.81224564,4.312161486,2852.90284,354.3702386,102.7177844,3.076820934,25.19507446,4.325018377,13.51074455,3.276770266,61.75341256,6.166573529,24.73584289,7.440466606,83.77859561,9.82702052,6.68246006,3.194546525,9.538944333,7.879592249,91.4183677,5.251628965,7.220142219,3.681272849,1.361490081,3.16639388,92.64663243,2.33771092,3,6,DE,1,1,1,0,0,1,0,0,0,0,0.15935074,0.137429954,0.098166234,,,0.062901697,0.016859127,,,0.039328622,1,1,1,1,1,0,0,0,0
3,3,10380,8.547954305,0.963497913,12.98111843,1.310861206,14.39877238,2.888381501,3405.628671,373.1805682,105.4530392,2.156397827,22.59441233,3.091102759,14.31648451,3.027413294,64.3481659,4.910583999,21.33534959,5.483154641,77.17437867,10.79915661,9.905265498,5.226163765,12.92035583,7.955061591,91.10078737,4.556858755,7.3201621,3.47225916,1.579050534,2.310987905,96.29029678,1.072880926,3,6,DE,0,0,0,0,0,0,0,1,1,0,,,,0.026628834,0.029438575,,,0.482278294,0.146752917,0.021042669,0,1,0,0,0,0,0,0,0
1,1,732,8.539194887,1.019405594,18.60680217,2.524940538,7.752062509,2.853364155,5978.516354,730.19702,107.92149,3.300263991,22.17213115,2.735066773,13.50457177,4.545012462,65.30513557,8.505855191,21.19029266,10.59444301,50.38359291,15.75421553,15.54783377,8.356200176,34.06857332,13.5511974,79.28596268,6.339513083,15.85014745,6.082682579,4.863889867,3.811447002,45.73073449,9.296930043,5,6,ES,0,0,0,0,0,1,0,1,1,1,,,,,,0.136978933,,3.157924992,1.526153778,0.333335762,0,1,0,0,0,0,0,0,0
2,2,3223,10.33841105,1.625954511,21.73132485,2.259252931,11.1794482,3.437663238,5568.568099,799.3905165,109.1412987,4.231487056,22.10797394,2.347683002,16.04248882,3.779896608,67.97180672,3.887699369,15.98570446,5.702329408,89.56496854,7.414073097,2.54698712,2.2799341,7.888044344,6.225086791,74.85284532,9.510112965,24.56540338,9.508913964,0.581751299,0.620304674,57.06725719,9.509700905,5,6,ES,1,1,1,0,1,0,0,0,0,1,0.203995636,0.058155681,0.190497834,0.008218654,0.098126628,,0.021856576,,,0.068465995,1,1,1,1,0,1,1,0,0
3,3,1943,8.586751263,1.621462937,16.75230137,2.689097041,8.799199266,3.377894773,2613.877613,554.4082391,92.90821968,3.893598963,22.90375708,3.382346684,12.88366752,3.300390805,64.99810562,4.624901062,22.11822685,6.415462003,91.12935615,5.187842099,2.089948522,1.837332584,6.780695324,4.318789053,69.15888872,12.17396964,30.36364498,12.20386249,0.4774663,0.507034485,60.40082766,6.715418929,5,6,ES,0,0,0,0,0,0,0,0,0,0,,,,,,0.043790532,0.017466512,,,0.009496494,0,0,0,0,0,0,0,0,0
4,4,1734,10.33942285,1.610807792,20.53698264,2.684800255,18.22263752,5.764350412,4902.597311,902.7816996,108.2516161,6.238383406,29.85813149,1.090032569,14.60896076,3.904969512,66.7536731,4.620781144,18.63736614,6.408872218,83.58193118,8.70841188,2.931727011,2.354114751,13.48634181,7.685338366,71.01492665,9.425061447,27.97826355,9.476783908,1.006809796,0.846840831,60.97442373,7.450490587,5,6,ES,0,1,1,0,0,0,0,0,1,0,9.79E-05,0.103735207,0.630012251,0.003058947,,,,,0.566099845,0.009496494,1,1,1,1,0,0,0,0,1
5,5,2516,8.070593904,1.395206085,16.7811455,2.510437419,9.390565762,3.265868811,5126.320496,875.0961068,107.7397509,5.436194166,22.61923688,3.073469422,18.34060519,5.574104627,67.74456328,4.185208873,13.91483153,7.012690947,87.64925588,7.515529274,3.739325216,2.927860687,8.611418904,5.888374205,80.24494415,9.933878759,19.08842443,9.911076196,0.666631421,0.686181834,63.43642385,8.218061091,5,6,ES,0,0,0,0,1,0,0,1,0,0,,,,,0.14325186,,,0.275468419,,0.040377587,0,1,0,0,0,0,0,0,0
